                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     47,              0.0097695,              0.0071952,              0.0034206,                      0,                0.97486,                0.93571,                0.98098,                0.87261,                0.97635,                0.93714,                0.98973,                  0.789,              0.0051637,              0.0043794,              0.0016024,                      0,                0.00586,                0.00586,                0.00586
                     48,              0.0095227,              0.0069649,               0.003426,                      0,                0.96297,                0.74357,                0.88959,                0.72765,                0.97168,                0.85791,                0.93903,                0.70721,               0.008475,              0.0044887,              0.0037308,                      0,                0.00577,                0.00577,                0.00577
                     49,              0.0093437,              0.0071106,               0.003369,                      0,                0.98801,                0.85929,                0.95804,                0.83474,                0.99263,                 0.8655,                0.96167,                0.76512,              0.0059648,              0.0045047,              0.0022865,                      0,                0.00568,                0.00568,                0.00568
                     50,              0.0093664,              0.0068549,              0.0033546,                      0,                0.99309,                0.92334,                0.98551,                0.90242,                0.99462,                0.92477,                0.98613,                0.75315,              0.0044745,              0.0045503,              0.0016796,                      0,                0.00559,                0.00559,                0.00559
                     51,              0.0089477,              0.0068793,              0.0032631,                      0,                0.97783,                0.81902,                0.95831,                0.83855,                0.98955,                0.86643,                0.97087,                0.77694,              0.0058383,               0.004118,              0.0022563,                      0,                 0.0055,                 0.0055,                 0.0055
                     52,               0.009161,              0.0067884,                0.00325,                      0,                0.96754,                  0.915,                0.97842,                0.87229,                0.97118,                0.91472,                0.98135,                0.78989,              0.0047711,               0.003923,              0.0016617,                      0,                0.00541,                0.00541,                0.00541
                     53,              0.0090549,              0.0067728,              0.0032607,                      0,                 0.9492,                0.89357,                0.97177,                0.87311,                0.96644,                0.88444,                0.97399,                0.78071,              0.0047439,              0.0039802,              0.0017158,                      0,                0.00532,                0.00532,                0.00532
                     54,              0.0090313,               0.006937,              0.0032896,                      0,                0.99815,                0.86786,                0.96815,                0.90781,                0.99982,                0.86929,                0.96884,                0.79916,              0.0041125,               0.004033,              0.0013787,                      0,                0.00523,                0.00523,                0.00523
                     55,              0.0089167,              0.0068768,              0.0032783,                      0,                0.97553,                0.91357,                0.97657,                0.89012,                0.97501,                0.91955,                0.97771,                0.81234,              0.0047132,              0.0040149,              0.0015941,                      0,                0.00514,                0.00514,                0.00514
                     56,              0.0088002,              0.0068947,              0.0032564,                      0,                  0.997,                0.92429,                0.98285,                0.89523,                0.99854,                0.92571,                0.98695,                0.82331,              0.0042302,              0.0039306,               0.001439,                      0,                0.00505,                0.00505,                0.00505
                     57,                0.00863,              0.0068317,              0.0031434,                      0,                0.99249,                0.84988,                0.95299,                0.88024,                0.99416,                0.85131,                0.95486,                0.80838,              0.0046364,              0.0039997,              0.0017663,                      0,                0.00496,                0.00496,                0.00496
                     58,              0.0084459,              0.0065498,              0.0031308,                      0,                0.99268,                0.85143,                0.96863,                0.88662,                0.99435,                0.85286,                0.96956,                0.79003,              0.0053038,              0.0039949,              0.0016982,                      0,                0.00487,                0.00487,                0.00487
                     59,              0.0085566,              0.0066962,              0.0031464,                      0,                0.99592,                0.87201,                0.96566,                0.87749,                0.99755,                0.87344,                0.96631,                0.77791,              0.0055369,              0.0042379,              0.0017088,                      0,                0.00478,                0.00478,                0.00478
                     60,              0.0083347,              0.0067157,              0.0031178,                      0,                0.99696,                0.93662,                0.98126,                0.91395,                0.99848,                0.93805,                0.98636,                 0.7896,              0.0039294,              0.0042195,              0.0013407,                      0,                0.00469,                0.00469,                0.00469
                     61,              0.0083939,              0.0066873,              0.0031024,                      0,                0.96686,                0.91698,                0.97735,                 0.8871,                0.96837,                0.91841,                0.98162,                0.80382,              0.0046338,              0.0039529,              0.0017856,                      0,                 0.0046,                 0.0046,                 0.0046
                     62,              0.0082685,              0.0066819,              0.0030993,                      0,                0.94706,                0.77071,                0.93493,                  0.836,                0.97618,                  0.825,                0.95821,                 0.7904,              0.0056455,              0.0042404,              0.0022108,                      0,                0.00451,                0.00451,                0.00451
                     63,              0.0081398,              0.0067169,              0.0030999,                      0,                0.94917,                0.84786,                0.96237,                0.87442,                0.91168,                0.88714,                   0.97,                0.80233,              0.0049719,              0.0038651,              0.0019504,                      0,                0.00442,                0.00442,                0.00442
                     64,              0.0080551,              0.0067335,              0.0030533,                      0,                0.97971,                0.95357,                0.98282,                0.90232,                0.97393,                0.96057,                0.99345,                0.81978,              0.0038594,              0.0039465,              0.0014025,                      0,                0.00433,                0.00433,                0.00433
                     65,              0.0079077,              0.0065956,               0.003025,                      0,                0.93851,                 0.9048,                0.97602,                0.88506,                0.93999,                0.90622,                0.98094,                0.81938,              0.0047121,              0.0038341,              0.0015756,                      0,                0.00424,                0.00424,                0.00424
